iter	Passed	Remaining
0	0	88
1	1	94
2	3	113
3	4	103
4	4	94
5	5	88
6	6	83
7	6	79
8	7	76
9	8	73
10	8	72
11	9	71
12	10	72
13	11	72
14	12	71
15	13	69
16	13	68
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	53
29	22	53
30	23	52
31	24	51
32	24	50
33	25	50
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	46	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
